,req,res
374,나도 소형차 있었으면...,월세도 많이 나가고 키키
375,친구 무슨 차 샀는데?,소형차가 최고지... 나도
376,누가 차 산거여 궁금,주차가 중요해서 진짜 ㅠㅠ
377,새 차 뭔데... 무슨 차...,무슨 차 산거예요?
378,일단 직장부터 구해야 해...,직장을 먼저 구해야 하는데 키키
379,직장이 있어서 차를 살듯 키키,취업하기가 쉽지 않네 ㅠㅠ
380,할부로 사도,이제 11월부터 일 해야지 ㅠㅠ
381,월급을 받아야 차를 산다...,할부 값이 진짜 장난 아니야 ㅠㅠ
382,우리 언제 취업하냐,나가는 유지비가 엄청나서
383,우리 셋 다 올해 안에 해보자,꼭 취업해볼게 키키 꼭
384,엇 저분 남친도 산업체 나오심...!,아 진짜? 키키/산업체 좋은데
385,키키 이런 우연이 다 있나,돈 벌면서 키키 군대 보내기
386,산업체 가는 사람 잘 없던데,저는 군대 안 가서 너무 좋아요...
387,그니까 군대 안 가신 두분 하하,키키 친구들이 다 부러워함
388,요즘 군인 월급 많이 올랐대...,진짜 시간이 너무 아까워서
389,1년 6개월 하면  2000은 모은다 함 ^^,나도 안 가는 게 좋으니까...
390,난 참 성실한 학생이었지,나는 공부 안 하는 학생... 이었는데
391,난 참 착한 학생이었어,누나는 공부 잘했다고 키키
392,자기 칭찬 키키 공부 열심히  했지,들었어요 ~ **누나한테 키키
393,**이도 성실한 학생이었어,공부 잘하는 건 어떻게 하는 거지 키키
394,공부 그 정도면 꽤나 잘한 듯 키키,오 ~ **이 누나도 공부 잘했구나...
395,나는 나름 만족해 키키,친구가 인정할 정도면 키키 잘한 거 키키
396,엄마가 해준 밥이 짱이야,엄마가 해준 밥이 진짜 짱 ㅠㅠ
397,배달은 먹을 수록 질리는데,엄마 밥 안 먹은 지...
398,엄마가 해주는 밥은 안 질려 ㅠㅠ,기억도 안 나네여 ㅠㅠ
399,** 엄마 밥 안 하시지 않음?,엄마 밥은 왜 항상 맛있져...
400,너가 집에서 밥하잖아...,키키 어머님 밥 안 하나여?
401,배달은 왜케 질리냐,키키 엄마도 사 드시는 구나 키키/그런 집이 있더라구요
402,** 결혼 홍보 대사다며.,결혼 홍보 대사라니...
403,**이 조만간 결혼 한다능...!,이번에 결혼한다는 친구가?
404,내가 엄청 말 하는 거 같아,축가의 주인공이 혹시?
405,키키 마자 마자 그 **이가 쟤야,키키 들은 것 같은데 키키
406,쟤 이제 결혼한다고 ㅠㅠ,축가 노래는 정했나여 키키
407,얌 나 근데 벌써부터 눈물이 너무 난다,친구 결혼식은 왜 눈물이...
408,우리 다 강아지 키우군 하하,저도 강아지 키워요 키키
409,자기 강아지 자랑 해보장,**이 누나도 키우나여? 키키
410,우리 강아지는 넘 똑똑해,저희 강아지 겁나 이쁜데...
411,한 마리 키운다고?,겁나...^^...없어요 키키
412,내가 봤던 그 강아지?,헐?/한 마리 추가인 가여
413,너네 강아지는 없어?,키키 애기 때 너무 귀여워 ㅠㅠ
414,취미 있으신 분 있나여,저는 취미가 특별히 ㅠㅠ
415,저는 독서도 꽤나 좋아합니다,취미 있는 사람 부러워여 ㅠㅠ
416,요즘 어떤 책을 읽고 계신가여,오~ 두분 다 책을...
417,영화 왜 못 보쥬?,취미가 있어야 알차게 ㅠㅠ
418,영화 요즘 다 집에서 보는 듯 ㅠ,회사 퇴근하고...집 콕 노잼이예요 ㅠㅠ
419,아무도 영화관 안 가,영화관 가고 싶다 ㅠㅠ
420,게임 좋아하는 사람~,저 게임 좋아해여 키키
421,나 게임 완전 좋아해,롤 오늘도 일어나서 했는데 키키
422,게임은 다 재밌어,누나는 게임 이런 거 안 좋아하고
423,빠질까 봐 시작을 못할 뿐,다른 거 키키 좋아하잖아?/맞죠?
424,난 한번 하면 너무 빠지더라 ㅠ,맞아 ㅠㅠ/시작하면 게임은 푹 빠짐...
425,특히 폰게임 넘 중독이야,다른 거 다 안하고 게임만...
426,신혼 여행 그래서 어찌댐...?,신혼여행을 어디로 가여?
427,**이의 신혼여행은 과연,신혼여행 엄청 좋겠다 ㅠㅠ
428,키키 아직도 고민 중이라고?,하와이 아직도 고민 중이구나
429,제주도 가 그냥... ㅠㅠ,언제 결혼하시나여 ㅠㅠ
430,그니까 아직 넘 골치 아프다,제주도 괜찮은데 돈도 절약되고 ㅠㅠ
431,그냥 제주도 가셈!,오~ 4월의 신부구나
432,오늘 날씨 개꿀 하하,오늘 날씨 따뜻?
433,이런 날 소풍을 못 가다니,바깥에 아직도 안 나갔다니
434,오늘 날씨 완전 포근...,진짜 너무 좋던데 ㅠㅠ
435,딱 야외 활동 하기 좋네,어제도 날씨 따뜻하고 ㅠㅠ
436,낮에는 조금 덥지?,소풍 가기 딱 좋은 날씨
437,응응 체육 대회 하는 날씨 키키,밤에는 패딩도 많이 입던데
438,엇 케이티 인터넷 고장 난 거 알지?,케이티 고장 난 거 보상 없지>/
439,그거 보상해 준다고 기사 봤음,그거 보상해 줘야 하는 거 아닌가
440,근데 1인당 천원 해준데...,오 보상해준다고 기사 났구나
441,웃기지 않니?,응?/천원?/그게 해주는 건가? 키키
442,키키  응 가게는 8천 원인가,천원이 뭐야 대체...
443,근데 집에서 일하는 사람은?,피해 엄청 많이 봤을텐데
444,코로나 치료제 나온 거 알아?,코로나 치료제 나왔다던데 ㅠㅠ
445,미국에서 만들어 냈대,우리나라는 언제 들어와?
446,응 알약으로 나온 거!,빨리 들어와야 할텐데 ㅠㅠ
447,응 좀 내려서 출시 한대,와 ~ 비싸겠다 진짜 ..
448,82만원 넘 반발 심해서,얼마 정도 할까요?ㅠㅠ
449,아직 부작용은 아무도 모르지,82만원은 사실 억지 ㅠㅠ
450,제모 넘 귀찮...,제모 꾸준히 하는 중이예요?
451,털은 몸에  있어야겠지?,키키 진짜 계속 하려면 키키
452,자라라는 머리는 안 자라구,너무 귀찮을 듯...
453,제모 진짜 귀찮,몸에 털은 필수지
454,한번 하면 안 났으면 좋겠어...,겨울에는 길러 줘도 키키
455,그냥 꼴 배기가 싫어,아무도 모를 텐데
456,아휴 애기들 코로나 문제네 완전,코로나 백신 시작하던데
457,소아과가 지금 미어터진데,더 어린 애들...
458,응응 애기들도 코로나 백신 맞는 데!,맞아도 되는 건가...
459,미국에서는 권고 하던데?,나는 애들 못 맞힐 듯...
460,우리나라는 아직 안 맞는 듯,뭔가 어른들도 위험한데...
461,난 못 맞힐꺼 같아 ㅠ,애들은 맞으면 더 위험하지 않을까
462,아휴 마트 가야 하는데,마트 가서 뭐 살 꺼야?
463,정촌은 왜 마트가 안 생겨...,키키 마트 가면 너무 돈 많이
464,대형 마트 넘 필요해...,나와서 가는 거 무서워
465,그냥 넘 냉장고가 텅이야,코스트코 같은 거 진주는...
466,얼마야?,안 생기겠지?.../절대?
467,아 코스트코 제발 키키 정촌 고고!,양상추를 샀다니... 지금
468,이영애 드라마 나온당...?,이영애 어떤 드라마 나와?
469,새로 하는  드라마!,이영애는 안 늙던데...
470,그거 좀 재밌던데?,어떻게 그렇게 이쁘지 키키/이영애 연기 명품임
471,응 이영애는 뱀파이어인 듯,오~ 나도 한번 봐야지!
472,아 그거 재밌지 않더냐?,진짜 50넘지 않았나여?
473,좀 신박 하던데 내용이,나도 챙겨 볼래여
474,영화관에 사람 진짜 없어,요즘 가봤어>영화관?
475,요즘은 데이트 할 때 영화관 안 간대,이제 영화관 좀 가도 되나?ㅠㅠ
476,모텔 가서 넷플 본다던데?,영화관에서 팝콘 먹는 맛이었는데...
477,넷플이 거기도 나와?,요즘 못 가서 아쉬움 ㅠㅠ
478,그런 거 넘 신기하넹,넷플이 거기도... 있나 보네
479,얌... 지금 재밌는 거 천지임,진짜 그런 거 너무 신기하다 키키
480,오늘 저녁 외식임?,오늘 저녁 외식이죠
481,난 오늘 저녁 외식할까...,근데 뭐 물찌 모르긋다
482,주말 기념 외식...,주말엔 무조건 나가 무야지
483,그니까 뭐 먹지?,평일에도 근데 나가뭄 키키
484,지금 피씨방 아니가?,요즘 맨날 외식하네
485,피씨방에  맛있는 거 안파나?,지금은 피방이지 후후
486,시골에는 빈집이 또 문제래,왜 빈집이 문제래?
487,그런 빈집들 때문에 더 이사 안 가고 그렇데,그거 사람 안 살면 무너짐
488,그게 문제라데 벌레 생기고,그냥 밀어버려야 함 ㅠ
489,아무튼 사회 문제에 있더랑,거미줄도 엄청나게 친다아니가
490,근데 그게 또 남의 집인데,빈집은 관리가 안되니까
491,그냥 주인 없이 버려진거제?,그렇지/사시던 분들 돌아가시고 ㅠ
492,포항 가본 사람 있음?,포항 옛날에 가봤찌
493,포항 졸 멀지 않나?,요즘 너무 안 갔네
494,포항 가는 데 얼마나 걸림?,경주까지만 가고 안 가게 됨
495,갯마을 차차차 많이 가던데,두시간 반이면 갈걸?
496,그거 인기 식어서 갑자기...,갯마을 차차 포항에서 찍었나
497,포항 은근 멀꺼?,그 남자 주인공 망했다던데
498,나 회사 차릴까,무슨 회사 차릴끼고
499,다들 우리 회사로  올래?,내도 취직 시켜주삼
500,그냥 차려 보는 거지,열심히 일할게요 사장님
501,키키 이력서를 제출 하세오으,내 일 하나는 끝내준다
502,우리 회사는 스펙 많이 봄니당,이력서 쓸게 없네 ㅋ
503,일단 엠비 티아이 나랑 맞아야 함,스펙 없는데요/딸기박스 잘 접음
504,요새 군인 아저씨한테 편지 쓰나?,편지 요즘 안 쓸걸 ㅋ
505,*씨 편지 받아 봤음?,폰을 다 들고 들 가서 키키~
506,군인때 여친 있었음?,나는 편지 아무도 안 써주던데
507,누나가 안 써주 드나,여친 차고 들어갔다 키키
508,누가 면회도 안 왔나?,엄마한테 한통만 딱 씀
509,면회 안 오면 슬플 듯...,면회 오지 마라 했다 그냥
510,공인 중개사 자격증 박 터지네 키키,그래 왜케 다들 그거 땀?
511,공인 중개사가 꿀은 참 꿀이야,내는 자격증 공부 하는 게 싫음
512,복비가 졸라 비싸 다이가,다들 학생 때로 가면 공부할낌?
513,근데 그거 공부할꺼 넘 많드라...,내는 다시 가도 공부 안할 듯 ㅋ
514,원룸만 계약해도 진짜,어마어마하게 벌듯 그 사람들
515,한건에 엄청 많이  받아감;,부럽다/내도 할까
516,요새는 아빠들이 독박 육아 하는 집 많더랑?,내도 나중에 그리 될 듯
517,내 친구 집도 아빠가 육아 휴직 썼음,남자가 안 봐주면 안된데
518,** 아기 잘 키울 자신 있음?,아니ㅠ/**는 생각 없나?
519,남자가 더 꼼꼼하다고? 키키,**이 언제 낳을 거래?
520,나 아무 생각 없는 디...,**도 별 생각이 없드라
521,우리 남편은 집안일은 잘함 키키,근데 낳으면 또 잘 키울 듯 ㅋ
522,결혼할 때 신경 쓸 거 진짜 많음...,**는 연애 몇 년 했다 했지?
523,나 연애 2년 좀 넘게!,오 결혼한 지는 얼마 됬노
524,우리나라는 별에  별걸 다 챙겨,원래 한국은 어쩔 수 없다
525,나 결혼한 지 2년 8개월?,내는 결혼식 기억도 안 난다
526,이제 3년 다 돼간당 하하,엄청나게 긴장해갖고... 떨면서 함
527,난 아직 넘 또렷...,와 ** 벌써 그리 됐나 키키
528,이구아나 키워 봄?,이구아나 키키/니 키워봤나?
529,우리 어렸을 때 그거 유행이었는 디...,**는 요즘 거북이 키우고 싶데
530,이구아나 꽤나 키움;,거북이를 너무 좋아함... ㄷㄷ
531,**는 왜 거북이를 좋아하지...,이구아나 도마뱀 같은거잖아
532,거북이가 근데 행운의 상징이잖아,거북이 귀엽다 하데 ㅋ
533,거북이 키워랑 마당에 키키,거북이 그럼 키워 보까
534,웨이크 보드 타 보신 분,웨이크 보드는 안 타 봄
535,아 그런 거 진짜 존잼일 듯,**는 잘 타나?
536,한번도 안 가봄!,내 왠지 잘 탈 거 같다
537,엉 **는 못하는 게 없어,다들 타러 가볼래?
538,근데 그거 비싸뎅,어디 가서 타야 하노 가자!
539,5분에 10만원인가...? 소문이...,**보고 협찬 받아오라 할게
540,**는 먼 게임 하누?,롤 같은 거 하지 않나
541,난 게임 안행 하하,내는 롤은 잘 못함
542,요새는 다 말하면서 하데,미스포츈만 좀 할 줄 암
543,그 헤드셋? 같은 거 끼고,요즘은 헤드셋 끼고 한다 ㅋ
544,피시방 가니까 신기 하드라...,대화하면서 욕도 하고 그람 키키
545,통신하면서 하는 거 진짜 신기행...,그러다 싸우고 친구 되고 그런 거지
546,안동 여행 가보신 분,안동 내 다니왔따
547,안동 탈춤 클럽 거기 가고 싶다,안동 좋드라/찜닭 맛있음
548,개 존잼 일듯... 안 하겠지?,탈출 클럽도 있나...?
549,응 탈출 클럽 같이 갈래?,탈출 클럽 가면 뭐해?
550,탈 쓰고 가야 함 무조건,아 탈 쓰고 춤추는 기야
551,탈 쓰고 가서 춤 추는 거임,빵 터졌네 진짜 키키 현웃
552,지금 밖에 비 옴?,밖에 아직 비 안 온다
553,비 오는 소리 들리노...,정촌은 비가 오나
554,우산 가져 오신 분,벌써 오나 우리 피방이라 모르나
555,하루 종일 우중충 하더랑,비 오면 고마 맞는 기지 키키
556,피시방 창문 없냐고 키키,그래/해가 안보이데
557,그런 밀폐된 곳 노노행,피씨방 지하라서 창문 없다...
558,전과 35범 할배 모하고 있을까...,그 사람 잡혀 들 갔제?
559,지금쯤 도망친 거 후회 할 듯,그런 아들은 거세해야 함
560,형량만 더 늘어 난 거 아냐,그니깐 만다 도망가고 난리
561,35범이면 교도소에서 얼마나 있었던 거임?,그냥 이제 해탈 한 듯 어차피 35범이라
562,난 첨 봄,진짜 사이코 패스인 듯
563,피해자가 30명 넘는 데;,그 애들 성폭행했다든데
564,여기 아미 없나여,나는 방탄 잘 모름
565,방탄이 난리던데... 또,노래만 몇 번 들어봄
566,키키 둘 다 왜 싫어해,**는 엑소 좋아하더라 키키
567,둘 다 왜 방탄 싫어하심,싫어하는 건 아니고 그냥 모름
568,키키 이건 ** 탓임,노래 몇 번 들어본 게 다
569,키키 노래 엄청 좋던데?,**가 엑소 노래만 들어라 함
570,** 눈썹 사진 좀...,눈썹 사진 보내줄게 키키
571,눈썹 문신 진지하다니까 키키,인상이 아주 또렷해짐
572,지금 엄청 자연스럽?,지금 다시 리터치 해야 함
573,원래는 눈썹이 없었음?,내 리터치하고 보여 주께
574,리터치는 또 언제랭?,내 눈썹이 산이 많았음
575,나 했는데 다 지워짐...,리터지 2주 뒤에 해야 함/1주일 지나서
576,맹장 수술 해 본 사람,맹장 난 안 함 ㅋ
577,맹장이 터지면 그렇게 아프데...,**도 맹장 안 땠데
578,그 썰 들으면 개 무섭당,그래/티비 본께 아픈갑데
579,그니까 그리 아프다데,연기자들 맹장 터지면 실리 간다 아니가 키키
580,나 터지면 어떡행...,내 주변에 아무도 안 땠네?
581,그러다 죽는 다니까?,터지면 수술하러 가야제 키키
582,토요일에도 택배 배달하는 구나...,토요일까지 딱 한다 아이가
583,토요일에 택배 오랜만에 받아 본당,일요일도 오나 첨암 응응
584,산청도 토요일 갖다 줌?,당연하지
585,택배 기사님은 그럼 주 6일이가...,기사님이 안 오고 싶음 안 옴
586,완전 고생하시넴... 덜덜덜,기사님 오고 싶으면 오고
587,하는 만큼 돈 이제?,모아서 한방에 가져다 주시더라 ㅋ
588,먹방 같은 거 봄?,먹방 함씩 본다
589,난 남이 먹는 건 싫어,쯔양 먹방 함씩 봄
590,먹방 어떤 거 보는 디?,이쁘고 잘 무서 볼만함
591,쯔양 잘 먹음?,진짜 잘 묵드라 그 여자
592,쯔양 지금 독도라던데 키키,뭐 막창을 30인분 먹던데
593,난 대리 만족 못하나 봐,옛날에 벤쯔도 잘 묵더라
594,덕산에 영화관 없제?,영화관 있긋나 거기...
595,해리 포터 어디서 봄?,해리포터 옛날에 진주 나와서 봄
596,산청에 영화관 없니...?,진주 안 오면 극장 없다 키키
597,요즘 동사무소에 영화관 있던데? 시골은,원지에 한 개 생깄다!
